attendance_id,employee_id,date,status,hours_worked
146,2584.0,01/08/2025,,-1.0
147,1951.0,01/08/2025,Present,9.0
148,8576.0,2025-08-01,present,9.0
149,8331.0,2025/08/02,Leave,9.0
150,8904.0,2025/08/02,,
151,41.0,01/08/2025,Leave,-1.0
152,9054.0,2025-08-01,Absent,9.0
153,5449.0,01/08/2025,present,7.5
154,7841.0,2025-08-01,present,15.0
155,5169.0,2025-08-01,Leave,15.0
156,2146.0,,,
157,1548.0,2025/08/02,Leave,-1.0
158,501.0,2025-08-01,present,8.0
159,4184.0,01/08/2025,Present,
160,4029.0,2025-08-01,Absent,8.0
161,4314.0,,WFH,7.5
162,3863.0,2025-08-01,,-1.0
163,5347.0,2025-08-01,,
164,1430.0,01/08/2025,Absent,9.0
165,4750.0,2025-08-01,WFH,9.0
166,6347.0,01/08/2025,WFH,8.0
167,8986.0,2025-08-01,WFH,8.0
168,4446.0,01/08/2025,WFH,
169,7696.0,,Absent,
170,3051.0,01/08/2025,WFH,8.0
171,2538.0,2025/08/02,Leave,7.5
172,7756.0,2025-08-01,Leave,9.0
173,2758.0,2025-08-01,Leave,-1.0
174,563.0,2025/08/02,WFH,7.5
175,5939.0,,Present,-1.0
176,3611.0,01/08/2025,present,
177,3371.0,01/08/2025,WFH,-1.0
178,3092.0,2025/08/02,,8.0
179,4735.0,,,-1.0
180,5035.0,,,9.0
181,6261.0,01/08/2025,WFH,8.0
182,842.0,2025-08-01,Absent,9.0
183,7140.0,,Absent,7.5
184,1653.0,2025/08/02,Absent,-1.0
185,7370.0,01/08/2025,Leave,
186,5685.0,01/08/2025,Absent,15.0
187,2464.0,2025-08-01,WFH,8.0
188,7360.0,,,8.0
189,9727.0,2025/08/02,Absent,7.5
190,8821.0,2025/08/02,Present,15.0
191,2363.0,01/08/2025,Absent,9.0
192,9490.0,2025-08-01,Leave,8.0
193,9579.0,,WFH,9.0
194,2498.0,,Present,
195,7490.0,2025-08-01,present,9.0
196,7274.0,,Leave,-1.0
197,2040.0,01/08/2025,present,7.5
198,432.0,,Leave,
199,450.0,2025/08/02,Absent,
200,1782.0,01/08/2025,Absent,7.5
201,4919.0,2025/08/02,WFH,-1.0
202,2099.0,2025/08/02,WFH,15.0
203,4476.0,2025/08/02,Leave,
204,7050.0,2025-08-01,Present,-1.0
205,7456.0,01/08/2025,present,8.0
206,1137.0,01/08/2025,present,7.5
207,9175.0,2025-08-01,,-1.0
208,314.0,2025/08/02,Present,9.0
209,9003.0,2025-08-01,Absent,7.5
210,6306.0,,Leave,-1.0
211,944.0,,WFH,8.0
212,8828.0,01/08/2025,WFH,8.0
213,7308.0,,Absent,
214,1316.0,01/08/2025,Leave,9.0
215,8644.0,01/08/2025,WFH,7.5
216,2472.0,,Absent,7.5
217,2989.0,2025/08/02,Absent,9.0
218,3268.0,,Absent,9.0
219,6434.0,,present,9.0
220,7038.0,2025-08-01,,15.0
221,9732.0,,Absent,-1.0
222,9720.0,2025-08-01,WFH,7.5
223,7485.0,01/08/2025,Absent,-1.0
224,872.0,01/08/2025,,9.0
225,1297.0,2025-08-01,present,-1.0
226,318.0,2025-08-01,WFH,7.5
227,246.0,2025/08/02,,-1.0
228,7293.0,2025-08-01,,-1.0
229,8548.0,,Present,9.0
230,4632.0,,Absent,-1.0
231,9251.0,2025-08-01,Leave,9.0
232,5498.0,,Leave,9.0
233,9854.0,,Present,-1.0
234,4301.0,01/08/2025,WFH,8.0
235,5716.0,01/08/2025,WFH,-1.0
236,1453.0,,present,7.5
237,7185.0,2025/08/02,Present,
238,1452.0,2025-08-01,,9.0
239,9568.0,,present,9.0
240,1452.0,2025/08/02,,15.0
241,787.0,2025/08/02,present,8.0
242,790.0,2025-08-01,Present,
243,1930.0,,Leave,9.0
244,944.0,2025-08-01,present,7.5
245,7876.0,2025-08-01,Present,-1.0
246,5043.0,2025/08/02,Absent,7.5
247,8663.0,2025/08/02,Leave,7.5
248,3887.0,2025-08-01,Present,15.0
249,9733.0,2025/08/02,WFH,9.0
250,5362.0,,Present,8.0
251,6140.0,01/08/2025,Absent,8.0
252,8432.0,,Present,15.0
253,3421.0,2025-08-01,Absent,9.0
254,8611.0,,WFH,7.5
255,6912.0,,Present,15.0
256,8615.0,2025-08-01,Leave,8.0
257,9310.0,2025/08/02,,8.0
258,4574.0,,present,
259,9298.0,2025-08-01,present,8.0
260,8409.0,2025-08-01,Absent,-1.0
261,5691.0,01/08/2025,Absent,8.0
262,1742.0,2025/08/02,Leave,7.5
263,2206.0,2025/08/02,Absent,9.0
264,1905.0,2025-08-01,,15.0
265,8189.0,01/08/2025,Absent,7.5
266,4391.0,2025-08-01,WFH,
267,8599.0,2025/08/02,Absent,
268,4468.0,01/08/2025,WFH,
269,6834.0,01/08/2025,Leave,
270,2218.0,2025-08-01,Absent,8.0
271,6225.0,2025-08-01,WFH,
272,8551.0,,present,9.0
273,8139.0,01/08/2025,Present,7.5
274,8001.0,,Absent,9.0
275,1025.0,01/08/2025,present,8.0
276,2632.0,01/08/2025,WFH,-1.0
277,3080.0,01/08/2025,Present,8.0
278,8027.0,01/08/2025,Present,8.0
279,8288.0,01/08/2025,,9.0
280,3631.0,2025-08-01,Present,
281,2584.0,2025/08/02,Leave,9.0
282,49.0,2025-08-01,present,-1.0
283,9019.0,2025/08/02,present,
284,233.0,2025-08-01,WFH,15.0
285,2846.0,2025-08-01,,
286,8656.0,2025/08/02,Present,7.5
287,4848.0,,WFH,7.5
288,8321.0,2025/08/02,Absent,8.0
289,5699.0,01/08/2025,present,9.0
290,105.0,2025/08/02,present,9.0
291,4059.0,2025/08/02,Leave,15.0
292,1885.0,01/08/2025,Absent,-1.0
293,1509.0,,Leave,15.0
294,1152.0,01/08/2025,,
295,9234.0,01/08/2025,Absent,-1.0
296,7416.0,2025/08/02,present,-1.0
297,4015.0,01/08/2025,Present,15.0
298,7087.0,,,8.0
299,3027.0,2025-08-01,present,-1.0
300,2320.0,,Leave,-1.0
301,769.0,2025-08-01,WFH,9.0
302,5478.0,01/08/2025,present,9.0
303,579.0,2025-08-01,Absent,
304,41.0,2025-08-01,Leave,8.0
305,9659.0,2025-08-01,WFH,9.0
306,6129.0,,Absent,7.5
307,1644.0,2025-08-01,,9.0
308,6796.0,01/08/2025,Leave,9.0
309,9708.0,01/08/2025,Absent,9.0
310,9887.0,2025/08/02,Present,-1.0
311,8133.0,01/08/2025,Present,8.0
312,6953.0,2025-08-01,present,9.0
313,3812.0,,Absent,
314,4481.0,,present,-1.0
315,3351.0,01/08/2025,WFH,8.0
316,6724.0,2025-08-01,Absent,-1.0
317,7453.0,,Present,8.0
318,9633.0,,Present,8.0
319,7490.0,01/08/2025,Present,-1.0
320,8433.0,2025/08/02,WFH,9.0
321,4962.0,2025-08-01,,8.0
322,7881.0,01/08/2025,,15.0
323,208.0,2025-08-01,present,8.0
324,8765.0,2025-08-01,present,9.0
325,8406.0,01/08/2025,,
326,9459.0,,,
327,4289.0,,,9.0
328,2394.0,2025-08-01,,9.0
329,7568.0,2025/08/02,present,
330,2790.0,2025/08/02,WFH,9.0
331,1728.0,,WFH,7.5
332,7039.0,01/08/2025,present,7.5
333,7849.0,2025/08/02,Leave,-1.0
334,2144.0,2025-08-01,Absent,7.5
335,7871.0,01/08/2025,present,
336,1808.0,2025/08/02,Present,15.0
337,6667.0,2025-08-01,present,
338,8355.0,01/08/2025,present,15.0
339,9629.0,2025/08/02,WFH,-1.0
340,462.0,01/08/2025,Leave,7.5
341,4671.0,01/08/2025,Leave,15.0
342,5989.0,2025-08-01,WFH,15.0
343,1892.0,2025/08/02,,8.0
344,2822.0,2025/08/02,present,15.0
345,4411.0,,Present,8.0
346,765.0,01/08/2025,,9.0
347,2726.0,,present,
348,5725.0,,WFH,8.0
349,8803.0,01/08/2025,Present,15.0
350,4504.0,2025-08-01,Absent,
351,2737.0,2025/08/02,Leave,8.0
352,3412.0,,Absent,7.5
353,8702.0,01/08/2025,Leave,8.0
354,9840.0,2025/08/02,WFH,-1.0
355,387.0,,Leave,
356,5181.0,2025/08/02,Absent,8.0
357,6488.0,2025/08/02,,-1.0
358,3022.0,01/08/2025,present,
359,8465.0,2025-08-01,WFH,8.0
360,3502.0,2025/08/02,WFH,-1.0
361,7140.0,01/08/2025,Present,8.0
362,4627.0,2025-08-01,,7.5
363,978.0,01/08/2025,Leave,-1.0
364,4895.0,2025-08-01,present,8.0
365,4507.0,01/08/2025,WFH,8.0
366,6143.0,2025-08-01,Present,9.0
367,5640.0,,Leave,8.0
368,7144.0,01/08/2025,WFH,
369,9302.0,,,
370,5075.0,01/08/2025,Absent,-1.0
371,8268.0,,WFH,-1.0
372,8314.0,01/08/2025,Present,-1.0
373,5113.0,2025-08-01,Absent,7.5
374,8044.0,,present,15.0
375,9929.0,01/08/2025,Absent,9.0
376,1054.0,2025-08-01,present,15.0
377,8770.0,,Leave,9.0
378,644.0,,present,7.5
379,2091.0,01/08/2025,Leave,7.5
380,9792.0,01/08/2025,,9.0
381,5471.0,,Leave,9.0
382,3793.0,,WFH,8.0
383,6811.0,,present,8.0
384,6096.0,2025-08-01,Absent,15.0
385,8279.0,2025/08/02,Leave,8.0
386,3575.0,2025-08-01,present,9.0
387,5110.0,2025-08-01,WFH,15.0
388,3260.0,01/08/2025,,-1.0
389,8891.0,01/08/2025,Present,8.0
390,6769.0,2025-08-01,,8.0
391,731.0,,WFH,8.0
392,8486.0,01/08/2025,Leave,-1.0
393,3565.0,2025-08-01,Leave,15.0
394,5129.0,2025-08-01,,9.0
395,1466.0,01/08/2025,,-1.0
396,34.0,,Absent,8.0
397,4364.0,,WFH,15.0
398,7410.0,,WFH,7.5
399,4255.0,01/08/2025,Present,7.5
400,7494.0,,Absent,-1.0
401,4182.0,2025/08/02,Present,
402,4266.0,2025/08/02,,8.0
403,3320.0,01/08/2025,Leave,9.0
404,946.0,2025-08-01,Absent,9.0
405,5800.0,2025/08/02,present,9.0
406,5430.0,2025/08/02,Leave,9.0
407,3027.0,2025-08-01,,9.0
408,6199.0,2025-08-01,Present,-1.0
409,8414.0,,Absent,-1.0
410,1576.0,2025/08/02,Present,-1.0
411,4918.0,2025-08-01,Leave,9.0
412,2392.0,2025-08-01,present,-1.0
413,6917.0,,present,15.0
414,5968.0,2025-08-01,WFH,15.0
415,6689.0,01/08/2025,Leave,7.5
416,6154.0,,present,8.0
417,2107.0,2025/08/02,Absent,15.0
418,7079.0,2025-08-01,Absent,7.5
419,4352.0,2025/08/02,present,
420,4521.0,01/08/2025,Absent,15.0
421,787.0,01/08/2025,present,
422,7266.0,01/08/2025,Leave,-1.0
423,2133.0,2025-08-01,Leave,
424,8206.0,,WFH,7.5
425,1372.0,2025/08/02,present,7.5
426,9387.0,01/08/2025,WFH,15.0
427,718.0,,present,15.0
428,878.0,,,7.5
429,1088.0,2025-08-01,Present,9.0
430,9324.0,2025-08-01,,-1.0
431,3071.0,01/08/2025,present,-1.0
432,626.0,,Present,
433,4911.0,2025-08-01,present,9.0
434,5856.0,01/08/2025,present,8.0
435,8604.0,,Leave,
436,25.0,01/08/2025,WFH,7.5
437,2421.0,2025-08-01,WFH,7.5
438,2797.0,2025-08-01,Leave,-1.0
439,5098.0,2025-08-01,Leave,15.0
440,8265.0,2025/08/02,present,8.0
441,1271.0,2025-08-01,Absent,7.5
442,5382.0,2025-08-01,Leave,7.5
443,6699.0,01/08/2025,Absent,
444,3340.0,2025/08/02,,-1.0
445,5777.0,2025-08-01,Present,15.0
446,1977.0,01/08/2025,Absent,9.0
447,978.0,2025/08/02,WFH,15.0
448,5416.0,2025-08-01,Leave,7.5
449,8379.0,2025/08/02,Present,7.5
450,630.0,2025-08-01,,8.0
451,4373.0,2025-08-01,Present,-1.0
452,47.0,01/08/2025,present,
453,7512.0,,Leave,-1.0
454,114.0,2025/08/02,Absent,8.0
455,9858.0,01/08/2025,Absent,
456,2801.0,01/08/2025,Present,8.0
457,7252.0,01/08/2025,present,8.0
458,7708.0,01/08/2025,WFH,7.5
459,1456.0,2025/08/02,Present,
460,2508.0,01/08/2025,present,-1.0
461,466.0,01/08/2025,present,-1.0
462,6390.0,2025/08/02,,8.0
463,2146.0,01/08/2025,Present,7.5
464,7292.0,2025/08/02,present,-1.0
465,9299.0,,WFH,7.5
466,7778.0,,Leave,8.0
467,5153.0,01/08/2025,Present,8.0
468,676.0,01/08/2025,Leave,7.5
469,300.0,01/08/2025,present,
470,7203.0,,WFH,
471,885.0,2025-08-01,,7.5
472,1285.0,2025/08/02,present,15.0
473,8739.0,,present,7.5
474,3721.0,01/08/2025,Leave,15.0
475,2327.0,2025/08/02,present,
476,8591.0,2025/08/02,Absent,9.0
477,1125.0,2025-08-01,,15.0
478,8827.0,2025-08-01,Present,7.5
479,2046.0,,WFH,7.5
480,4593.0,01/08/2025,,7.5
481,6197.0,2025-08-01,Absent,8.0
482,3695.0,2025-08-01,present,
483,4417.0,01/08/2025,Present,-1.0
484,6240.0,2025/08/02,Present,15.0
485,3399.0,2025/08/02,present,7.5
486,3107.0,2025-08-01,,
487,6200.0,2025/08/02,Leave,7.5
488,4384.0,01/08/2025,Absent,9.0
489,4232.0,,Present,
490,9863.0,,Leave,7.5
491,127.0,2025-08-01,,9.0
492,6239.0,01/08/2025,,
493,8945.0,2025/08/02,present,7.5
494,6749.0,2025-08-01,WFH,15.0
495,652.0,01/08/2025,Absent,8.0
496,920.0,2025/08/02,Present,9.0
497,8426.0,01/08/2025,Absent,
498,9164.0,2025/08/02,Leave,7.5
499,2124.0,,,15.0
500,5089.0,2025/08/02,,7.5
501,3853.0,01/08/2025,Absent,15.0
502,6483.0,2025-08-01,Absent,7.5
503,2501.0,2025/08/02,Leave,9.0
504,8252.0,01/08/2025,present,-1.0
505,9187.0,2025-08-01,present,7.5
506,5208.0,,present,15.0
507,9790.0,2025-08-01,Present,
508,2156.0,,WFH,-1.0
509,6296.0,2025-08-01,,7.5
510,4813.0,2025-08-01,present,7.5
511,7296.0,,Absent,8.0
512,9468.0,,WFH,
513,3593.0,,Leave,8.0
514,4339.0,01/08/2025,Present,
515,485.0,01/08/2025,WFH,-1.0
516,5804.0,2025-08-01,,15.0
517,8421.0,2025/08/02,Leave,9.0
518,5568.0,2025/08/02,Leave,15.0
519,10.0,,,8.0
520,3162.0,,Absent,-1.0
521,46.0,2025/08/02,,15.0
522,5495.0,01/08/2025,,
523,9386.0,2025-08-01,present,15.0
524,5252.0,01/08/2025,WFH,7.5
525,9513.0,2025-08-01,,15.0
526,556.0,2025/08/02,,
527,4109.0,2025/08/02,Leave,7.5
528,8209.0,,present,8.0
529,9671.0,,,8.0
530,833.0,2025-08-01,WFH,
531,1305.0,2025/08/02,,8.0
532,8941.0,,Absent,9.0
533,4959.0,,Leave,8.0
534,3868.0,01/08/2025,Present,8.0
535,2717.0,01/08/2025,Leave,-1.0
536,8417.0,,Present,9.0
537,9122.0,,,
538,8470.0,01/08/2025,Present,-1.0
539,1689.0,2025/08/02,Absent,7.5
540,4874.0,2025/08/02,Present,9.0
541,8058.0,2025-08-01,present,15.0
542,9329.0,01/08/2025,,
543,6144.0,2025/08/02,Present,7.5
544,2728.0,,Leave,15.0
545,4199.0,01/08/2025,Leave,9.0
546,6686.0,2025/08/02,Present,7.5
547,7230.0,2025/08/02,present,
548,4583.0,,Absent,9.0
549,7463.0,,,
550,9072.0,2025/08/02,WFH,8.0
551,5701.0,01/08/2025,Leave,7.5
552,8365.0,2025/08/02,Leave,7.5
553,9327.0,2025-08-01,Present,8.0
554,9342.0,,Leave,15.0
555,6229.0,,WFH,7.5
556,5994.0,2025/08/02,present,
557,3778.0,2025/08/02,Leave,9.0
558,7788.0,2025/08/02,WFH,
559,7491.0,,WFH,9.0
560,9253.0,2025/08/02,,-1.0
561,4736.0,2025/08/02,,8.0
562,7838.0,,WFH,15.0
563,1654.0,,,7.5
564,595.0,,present,8.0
565,57.0,2025-08-01,Present,15.0
566,663.0,,,9.0
567,8510.0,,WFH,-1.0
568,1776.0,2025-08-01,present,9.0
569,992.0,,Absent,8.0
570,8714.0,01/08/2025,WFH,
571,4982.0,01/08/2025,Absent,
572,2418.0,,,9.0
573,2763.0,2025-08-01,present,-1.0
574,681.0,2025/08/02,Absent,-1.0
575,9785.0,01/08/2025,present,-1.0
576,3996.0,2025/08/02,Leave,
577,6897.0,01/08/2025,present,
578,493.0,2025-08-01,Absent,-1.0
579,84.0,2025-08-01,Leave,-1.0
580,482.0,2025-08-01,present,8.0
581,4449.0,,Absent,
582,3905.0,01/08/2025,present,9.0
583,5600.0,2025-08-01,present,7.5
584,2412.0,,WFH,-1.0
585,7381.0,2025-08-01,WFH,-1.0
586,2164.0,01/08/2025,Absent,15.0
587,4980.0,,WFH,9.0
588,9017.0,2025-08-01,WFH,7.5
589,3374.0,2025-08-01,present,-1.0
590,9182.0,2025/08/02,Leave,15.0
591,7265.0,,present,15.0
592,2135.0,2025-08-01,WFH,-1.0
593,9321.0,2025/08/02,Leave,8.0
594,6106.0,2025-08-01,WFH,8.0
595,631.0,,,7.5
596,3228.0,2025-08-01,,8.0
597,5703.0,01/08/2025,Present,
598,1745.0,01/08/2025,present,8.0
599,8683.0,01/08/2025,Absent,9.0
600,1507.0,2025/08/02,Absent,
601,7872.0,01/08/2025,Present,
602,6062.0,2025-08-01,present,8.0
603,5209.0,,present,9.0
604,9757.0,2025-08-01,Present,8.0
605,4422.0,2025/08/02,Present,-1.0
606,648.0,,WFH,
607,5144.0,01/08/2025,,8.0
608,9538.0,2025-08-01,Absent,-1.0
609,6345.0,2025/08/02,Present,8.0
610,5652.0,,Absent,8.0
611,1326.0,2025/08/02,,-1.0
612,9881.0,2025/08/02,,9.0
613,5835.0,,Present,9.0
614,4476.0,,Leave,-1.0
615,5785.0,,,7.5
616,2195.0,2025-08-01,Absent,
617,2736.0,2025-08-01,WFH,7.5
618,2534.0,2025/08/02,Present,15.0
619,1424.0,2025-08-01,Leave,9.0
620,9071.0,,present,9.0
621,2492.0,2025/08/02,Present,15.0
622,8405.0,,Absent,8.0
623,7717.0,2025/08/02,Present,7.5
624,594.0,,present,7.5
625,6474.0,2025-08-01,WFH,
626,963.0,2025-08-01,Leave,8.0
627,4743.0,01/08/2025,WFH,7.5
628,6408.0,2025-08-01,Absent,8.0
629,5179.0,,WFH,15.0
630,8053.0,2025-08-01,Absent,9.0
631,5760.0,,Absent,-1.0
632,5301.0,2025-08-01,present,
633,3605.0,2025-08-01,,15.0
634,5917.0,2025/08/02,present,8.0
635,3853.0,,WFH,-1.0
636,3600.0,,Absent,-1.0
637,2144.0,2025/08/02,Absent,
638,3712.0,2025/08/02,Present,15.0
639,1847.0,2025-08-01,,9.0
640,6358.0,2025-08-01,,-1.0
641,9067.0,,Present,
642,9882.0,,WFH,
643,8037.0,01/08/2025,WFH,9.0
644,7304.0,,Absent,8.0
645,2273.0,01/08/2025,present,8.0
646,2694.0,2025/08/02,Absent,8.0
647,623.0,2025/08/02,Present,7.5
648,6173.0,,present,9.0
649,2761.0,2025-08-01,Absent,7.5
650,6620.0,,Present,8.0
651,6575.0,2025/08/02,,15.0
652,3290.0,2025-08-01,Leave,
653,1011.0,,present,7.5
654,1842.0,01/08/2025,,15.0
655,891.0,2025-08-01,Leave,-1.0
656,7213.0,2025/08/02,WFH,7.5
657,9484.0,01/08/2025,WFH,9.0
658,372.0,01/08/2025,present,7.5
659,4027.0,01/08/2025,present,7.5
660,1156.0,2025/08/02,,9.0
661,2386.0,2025-08-01,WFH,9.0
662,9510.0,2025-08-01,WFH,-1.0
663,6350.0,2025/08/02,WFH,15.0
664,3314.0,2025/08/02,present,-1.0
665,5817.0,01/08/2025,,15.0
666,2612.0,,,15.0
667,4410.0,2025/08/02,present,-1.0
668,3150.0,2025-08-01,Present,15.0
669,9582.0,2025/08/02,Leave,9.0
670,517.0,2025-08-01,,9.0
671,9394.0,2025-08-01,present,8.0
672,9904.0,2025/08/02,,9.0
673,7531.0,,Leave,-1.0
674,1506.0,2025-08-01,WFH,7.5
675,8085.0,,Present,15.0
676,2007.0,2025-08-01,Leave,8.0
677,8299.0,,,-1.0
678,47.0,,Leave,7.5
679,7045.0,2025-08-01,,9.0
680,3041.0,01/08/2025,present,15.0
681,4411.0,,WFH,-1.0
682,6216.0,2025/08/02,,9.0
683,2864.0,2025-08-01,present,8.0
684,1604.0,,Absent,-1.0
685,8450.0,,Absent,9.0
686,9509.0,,present,
687,4274.0,01/08/2025,Absent,8.0
688,2382.0,2025/08/02,Present,9.0
689,3227.0,2025-08-01,Absent,
690,3336.0,2025-08-01,Present,
691,5773.0,2025-08-01,Present,9.0
692,4704.0,,Leave,15.0
693,9185.0,,Present,7.5
694,4620.0,01/08/2025,Present,
695,888.0,01/08/2025,Present,-1.0
696,5880.0,,Present,15.0
697,4664.0,,WFH,9.0
698,9078.0,01/08/2025,present,15.0
699,1198.0,2025/08/02,present,7.5
700,6866.0,2025/08/02,Present,15.0
701,5146.0,2025/08/02,,7.5
702,5254.0,2025/08/02,present,-1.0
703,7123.0,01/08/2025,Leave,15.0
704,7204.0,2025/08/02,present,7.5
705,972.0,2025/08/02,WFH,8.0
706,8799.0,2025-08-01,Absent,8.0
707,5222.0,2025/08/02,Leave,-1.0
708,6591.0,01/08/2025,Present,8.0
709,9525.0,2025-08-01,,7.5
710,1214.0,01/08/2025,WFH,8.0
711,8084.0,2025-08-01,present,8.0
712,9322.0,2025/08/02,WFH,7.5
713,6004.0,2025/08/02,Present,
714,6315.0,2025/08/02,Absent,15.0
715,6246.0,2025/08/02,WFH,
716,9606.0,2025-08-01,Absent,-1.0
717,9791.0,2025/08/02,Present,-1.0
718,6451.0,2025-08-01,Absent,
719,2177.0,01/08/2025,Absent,9.0
720,6644.0,2025-08-01,WFH,7.5
721,6917.0,2025/08/02,Present,
722,8195.0,,WFH,9.0
723,973.0,2025/08/02,present,7.5
724,4952.0,2025-08-01,WFH,8.0
725,3663.0,01/08/2025,present,
726,8721.0,2025/08/02,WFH,15.0
727,978.0,2025/08/02,WFH,7.5
728,7424.0,2025/08/02,Absent,7.5
729,7639.0,2025-08-01,present,9.0
730,8991.0,2025-08-01,Present,
731,5776.0,2025/08/02,present,7.5
732,7070.0,01/08/2025,Present,15.0
733,5532.0,01/08/2025,Present,15.0
