payroll_id,employee_id,pay_month,net_salary,bonus
199,7945.0,,,-100.0
200,6794.0,2025-08,25000,0.0
201,3339.0,2025/08,"₹45,000",-100.0
202,9857.0,,42000,5000.0
203,8753.0,2025-08,25000,
204,5724.0,2025-08,"₹45,000",0.0
205,2947.0,,-5000,0.0
206,7543.0,2025/08,-5000,0.0
207,3256.0,2025/08,65000,2000.0
208,8059.0,2025/08,,0.0
209,9824.0,,"₹45,000",
210,8439.0,2025-08,42000,2000.0
211,5801.0,2025-08,-5000,2000.0
212,2635.0,2025-08,"₹45,000",2000.0
213,7357.0,2025/08,42000,0.0
214,6658.0,Aug-2025,-5000,2000.0
215,3724.0,Aug-2025,,-100.0
216,8019.0,2025/08,42000,-100.0
217,3301.0,2025-08,-5000,5000.0
218,5091.0,Aug-2025,65000,0.0
219,8788.0,,42000,2000.0
220,8482.0,,65000,0.0
221,1354.0,2025/08,,2000.0
222,9137.0,,-5000,2000.0
223,2931.0,2025-08,25000,5000.0
224,8676.0,2025-08,42000,
225,497.0,,"₹45,000",-100.0
226,2226.0,2025-08,-5000,
227,5759.0,,"₹45,000",5000.0
228,5105.0,2025/08,-5000,-100.0
229,5442.0,2025/08,-5000,-100.0
230,8921.0,2025-08,25000,5000.0
231,7184.0,2025-08,-5000,5000.0
232,2599.0,,42000,5000.0
233,8857.0,,25000,2000.0
234,1962.0,2025-08,-5000,2000.0
235,3134.0,,65000,
236,4698.0,2025/08,65000,2000.0
237,8933.0,2025-08,"₹45,000",-100.0
238,4193.0,2025/08,65000,0.0
239,634.0,Aug-2025,-5000,0.0
240,4557.0,2025/08,65000,-100.0
241,3634.0,2025/08,-5000,0.0
242,8780.0,Aug-2025,42000,-100.0
243,569.0,Aug-2025,25000,
244,783.0,,,-100.0
245,9889.0,2025/08,25000,-100.0
246,1074.0,Aug-2025,"₹45,000",-100.0
247,4202.0,2025-08,65000,
248,4632.0,,65000,0.0
249,5010.0,2025/08,"₹45,000",2000.0
250,6950.0,2025/08,65000,0.0
251,7191.0,,,-100.0
252,4229.0,,-5000,5000.0
253,6292.0,2025/08,,0.0
254,8494.0,2025/08,42000,0.0
255,7727.0,2025/08,25000,2000.0
256,2944.0,2025-08,65000,2000.0
257,2646.0,Aug-2025,,0.0
258,4418.0,2025/08,25000,-100.0
259,979.0,2025-08,65000,-100.0
260,3948.0,2025/08,-5000,2000.0
261,5046.0,2025-08,"₹45,000",
262,8010.0,2025/08,"₹45,000",-100.0
263,3958.0,,25000,2000.0
264,4214.0,2025/08,-5000,0.0
265,2272.0,,"₹45,000",2000.0
266,8072.0,,"₹45,000",
267,78.0,2025/08,-5000,
268,9449.0,,,-100.0
269,9440.0,,-5000,
270,9269.0,2025/08,,0.0
271,3029.0,2025-08,-5000,-100.0
272,6495.0,2025/08,65000,-100.0
273,8377.0,2025-08,25000,2000.0
274,2701.0,,65000,
275,3922.0,Aug-2025,"₹45,000",2000.0
276,2458.0,2025/08,25000,0.0
277,4472.0,Aug-2025,-5000,2000.0
278,373.0,Aug-2025,42000,
279,4271.0,2025/08,65000,0.0
280,6563.0,Aug-2025,,
281,1449.0,Aug-2025,25000,2000.0
282,3836.0,,-5000,5000.0
283,9943.0,,"₹45,000",-100.0
284,7865.0,2025/08,"₹45,000",-100.0
285,3518.0,2025/08,42000,0.0
286,2538.0,,"₹45,000",2000.0
287,2525.0,2025-08,65000,
288,962.0,,42000,5000.0
289,4787.0,Aug-2025,,
290,5398.0,2025-08,-5000,0.0
291,3285.0,Aug-2025,"₹45,000",0.0
292,6493.0,2025-08,"₹45,000",0.0
293,5270.0,2025-08,25000,5000.0
294,706.0,2025/08,65000,2000.0
295,6642.0,2025-08,,5000.0
296,3418.0,Aug-2025,-5000,-100.0
297,4147.0,2025/08,,2000.0
298,1694.0,,-5000,-100.0
299,9025.0,2025-08,,
300,2153.0,2025/08,"₹45,000",0.0
301,2294.0,2025-08,"₹45,000",0.0
302,693.0,2025-08,65000,5000.0
303,6635.0,2025-08,,-100.0
304,3203.0,2025-08,,
305,1629.0,Aug-2025,65000,-100.0
306,1932.0,,25000,5000.0
307,2189.0,2025-08,42000,-100.0
308,5219.0,,65000,0.0
309,2291.0,2025-08,"₹45,000",0.0
310,5521.0,Aug-2025,25000,
311,912.0,2025/08,42000,2000.0
312,4344.0,,25000,0.0
313,3236.0,2025-08,42000,2000.0
314,3256.0,2025/08,,5000.0
315,4134.0,,-5000,
316,9321.0,,65000,0.0
317,1651.0,2025/08,65000,
318,6909.0,2025/08,25000,0.0
319,8795.0,,25000,2000.0
320,4226.0,Aug-2025,25000,-100.0
321,6809.0,2025-08,,
322,9938.0,2025-08,65000,5000.0
323,1523.0,,,-100.0
324,5902.0,Aug-2025,,
325,6285.0,Aug-2025,,
326,1900.0,2025/08,"₹45,000",-100.0
327,1442.0,Aug-2025,-5000,0.0
328,1314.0,2025/08,65000,5000.0
329,8481.0,,42000,
330,7638.0,2025-08,42000,
331,4613.0,,25000,
332,4591.0,Aug-2025,25000,-100.0
333,7122.0,2025-08,25000,2000.0
334,448.0,2025-08,42000,-100.0
335,8476.0,2025/08,42000,5000.0
336,5266.0,2025/08,25000,5000.0
337,3430.0,2025-08,-5000,-100.0
338,7082.0,,65000,2000.0
339,4039.0,2025/08,42000,-100.0
340,3076.0,2025-08,-5000,0.0
341,5926.0,Aug-2025,42000,
342,5756.0,2025/08,42000,
343,4033.0,Aug-2025,-5000,
344,1224.0,Aug-2025,"₹45,000",5000.0
345,2080.0,2025/08,,2000.0
346,699.0,2025/08,42000,-100.0
347,6793.0,Aug-2025,"₹45,000",2000.0
348,565.0,Aug-2025,-5000,0.0
349,9659.0,2025/08,-5000,0.0
350,2226.0,2025-08,25000,-100.0
351,6893.0,Aug-2025,42000,
352,1247.0,Aug-2025,42000,5000.0
353,3752.0,Aug-2025,25000,2000.0
354,7672.0,,42000,-100.0
355,4302.0,2025/08,"₹45,000",0.0
356,2240.0,2025/08,25000,2000.0
357,5543.0,Aug-2025,65000,-100.0
358,2578.0,2025/08,65000,
359,6852.0,,"₹45,000",5000.0
360,1144.0,,42000,-100.0
361,1420.0,,65000,2000.0
362,6103.0,2025/08,,-100.0
363,4764.0,2025-08,"₹45,000",0.0
364,9069.0,Aug-2025,25000,2000.0
365,9477.0,2025/08,,2000.0
366,4155.0,2025-08,-5000,5000.0
367,7321.0,2025-08,42000,0.0
368,7892.0,,-5000,5000.0
369,227.0,2025-08,25000,-100.0
370,5373.0,2025-08,65000,2000.0
371,7483.0,,-5000,-100.0
372,11.0,,,
373,6507.0,2025/08,42000,2000.0
374,368.0,2025/08,-5000,5000.0
375,8579.0,,42000,0.0
376,1689.0,2025-08,,0.0
377,1763.0,2025/08,42000,0.0
378,8115.0,2025-08,,0.0
379,3106.0,Aug-2025,,
380,314.0,2025/08,-5000,
381,3662.0,2025/08,-5000,-100.0
382,7599.0,,"₹45,000",-100.0
383,6607.0,2025-08,,
384,7454.0,Aug-2025,,0.0
385,6984.0,2025/08,42000,-100.0
386,3546.0,,-5000,5000.0
387,7544.0,2025-08,-5000,-100.0
388,275.0,Aug-2025,42000,0.0
389,2421.0,2025/08,-5000,2000.0
390,2427.0,,,
391,3197.0,Aug-2025,42000,2000.0
392,4940.0,2025-08,25000,2000.0
393,2556.0,,,0.0
394,3141.0,2025/08,42000,0.0
395,1759.0,2025-08,-5000,
396,2120.0,Aug-2025,-5000,2000.0
397,1789.0,2025-08,-5000,
398,5393.0,2025-08,,0.0
399,5939.0,Aug-2025,-5000,5000.0
400,3248.0,Aug-2025,65000,
401,6742.0,Aug-2025,42000,2000.0
402,9007.0,2025-08,"₹45,000",
403,7093.0,,25000,0.0
404,9773.0,2025/08,,0.0
405,9685.0,2025/08,25000,2000.0
406,8408.0,,,2000.0
407,9615.0,2025/08,,
408,4105.0,,,
409,1821.0,2025/08,,
410,7772.0,2025-08,42000,5000.0
411,4815.0,2025-08,"₹45,000",
412,6994.0,,-5000,-100.0
413,2366.0,,,5000.0
414,1670.0,2025-08,-5000,5000.0
415,2880.0,2025-08,-5000,2000.0
416,3413.0,,42000,2000.0
417,851.0,Aug-2025,"₹45,000",2000.0
418,7205.0,2025-08,42000,
419,9161.0,,25000,5000.0
420,5415.0,Aug-2025,-5000,-100.0
421,8751.0,2025/08,-5000,5000.0
422,4679.0,2025-08,-5000,-100.0
423,9887.0,2025/08,65000,
424,4683.0,2025-08,42000,
425,3797.0,2025-08,42000,5000.0
426,8827.0,Aug-2025,,5000.0
427,70.0,2025-08,65000,-100.0
428,4602.0,Aug-2025,25000,2000.0
429,3723.0,2025-08,25000,2000.0
430,9455.0,,65000,-100.0
431,9668.0,Aug-2025,42000,-100.0
432,3113.0,,65000,5000.0
433,4082.0,2025/08,42000,
434,8007.0,,25000,5000.0
435,7534.0,Aug-2025,65000,5000.0
436,7218.0,,65000,5000.0
437,2523.0,,-5000,-100.0
438,5690.0,2025-08,"₹45,000",2000.0
439,2395.0,2025/08,42000,2000.0
440,6004.0,Aug-2025,42000,5000.0
441,8527.0,,-5000,
442,1424.0,2025-08,,0.0
443,1505.0,Aug-2025,25000,5000.0
444,1745.0,2025-08,65000,2000.0
445,8382.0,,42000,2000.0
446,1432.0,,42000,5000.0
447,943.0,2025/08,65000,2000.0
448,4228.0,2025/08,-5000,2000.0
449,4041.0,,"₹45,000",5000.0
450,2922.0,2025-08,65000,2000.0
451,8873.0,Aug-2025,,
452,6648.0,,65000,2000.0
453,7145.0,2025/08,42000,0.0
454,7787.0,2025-08,,2000.0
455,5827.0,2025/08,25000,
456,5110.0,,"₹45,000",2000.0
457,9827.0,2025-08,-5000,2000.0
458,8049.0,Aug-2025,"₹45,000",
459,6176.0,2025/08,25000,2000.0
460,2476.0,2025/08,,2000.0
461,1288.0,2025-08,"₹45,000",
462,5698.0,2025-08,42000,-100.0
463,8558.0,2025-08,"₹45,000",-100.0
464,2756.0,2025-08,-5000,
465,5104.0,,,
466,2877.0,2025-08,42000,
467,4751.0,,,
468,4657.0,2025/08,-5000,5000.0
469,6504.0,2025-08,25000,5000.0
470,8202.0,Aug-2025,-5000,
471,2874.0,2025/08,65000,0.0
472,5734.0,2025/08,25000,0.0
473,8715.0,Aug-2025,-5000,-100.0
474,4481.0,2025-08,,0.0
475,1264.0,,42000,-100.0
476,3649.0,,25000,-100.0
477,1810.0,2025/08,65000,0.0
478,7743.0,Aug-2025,25000,2000.0
479,873.0,2025/08,65000,0.0
480,730.0,2025/08,25000,0.0
481,6590.0,,25000,5000.0
482,5879.0,2025-08,42000,-100.0
483,8821.0,2025-08,"₹45,000",-100.0
484,3663.0,,42000,2000.0
485,1538.0,2025-08,,0.0
486,7034.0,,25000,0.0
487,6732.0,2025/08,42000,-100.0
488,7803.0,,25000,
489,5606.0,Aug-2025,,0.0
490,4890.0,Aug-2025,"₹45,000",2000.0
491,6331.0,Aug-2025,42000,
492,3101.0,,42000,
493,8465.0,2025/08,42000,-100.0
494,5089.0,2025/08,65000,
495,4697.0,,65000,5000.0
496,9259.0,Aug-2025,,
497,207.0,2025-08,"₹45,000",0.0
498,9273.0,,42000,5000.0
499,2305.0,2025-08,"₹45,000",-100.0
500,5862.0,2025-08,"₹45,000",2000.0
501,7475.0,Aug-2025,,0.0
502,3667.0,Aug-2025,42000,-100.0
503,8287.0,2025-08,,5000.0
504,8855.0,,"₹45,000",2000.0
505,8248.0,Aug-2025,65000,0.0
506,2287.0,2025/08,"₹45,000",-100.0
507,2849.0,2025-08,-5000,-100.0
508,1629.0,2025-08,42000,5000.0
509,848.0,2025-08,25000,0.0
510,8349.0,,-5000,-100.0
511,119.0,,,2000.0
512,7843.0,2025-08,-5000,
513,3570.0,Aug-2025,25000,2000.0
514,130.0,,-5000,-100.0
515,3123.0,2025-08,65000,5000.0
516,509.0,2025/08,65000,2000.0
517,8440.0,Aug-2025,-5000,-100.0
518,6563.0,,-5000,5000.0
519,7899.0,2025-08,,5000.0
520,2491.0,2025/08,25000,
521,2631.0,2025/08,,5000.0
522,8551.0,2025/08,"₹45,000",
523,7902.0,2025/08,42000,2000.0
524,8505.0,2025/08,25000,5000.0
525,6075.0,2025-08,"₹45,000",5000.0
526,4925.0,2025-08,"₹45,000",2000.0
527,9687.0,2025-08,,2000.0
528,3256.0,Aug-2025,65000,5000.0
529,7356.0,2025-08,,
530,4590.0,,"₹45,000",
531,3157.0,,,0.0
532,7533.0,2025-08,25000,-100.0
533,1291.0,,42000,0.0
534,1726.0,Aug-2025,-5000,
535,4475.0,2025-08,"₹45,000",5000.0
536,9598.0,2025/08,-5000,-100.0
537,1523.0,,"₹45,000",
538,1645.0,Aug-2025,65000,-100.0
539,6287.0,2025/08,-5000,-100.0
540,8489.0,Aug-2025,"₹45,000",-100.0
541,2098.0,2025-08,,0.0
542,3769.0,2025/08,,5000.0
543,1583.0,Aug-2025,-5000,0.0
544,8854.0,2025-08,25000,5000.0
545,261.0,,25000,-100.0
546,5014.0,Aug-2025,65000,5000.0
547,7029.0,,42000,-100.0
548,3633.0,Aug-2025,,0.0
549,1402.0,2025/08,25000,-100.0
550,5160.0,Aug-2025,25000,0.0
551,733.0,2025-08,,0.0
552,774.0,2025/08,25000,
553,2339.0,Aug-2025,,
554,3686.0,,65000,-100.0
555,7118.0,,,-100.0
556,8402.0,2025/08,"₹45,000",-100.0
557,6244.0,2025-08,-5000,5000.0
558,4259.0,Aug-2025,65000,5000.0
559,1500.0,2025/08,25000,
560,5762.0,2025/08,25000,5000.0
561,9786.0,Aug-2025,65000,
562,4116.0,Aug-2025,42000,-100.0
563,670.0,2025/08,65000,2000.0
564,6643.0,2025/08,,5000.0
565,4530.0,Aug-2025,,5000.0
566,5757.0,Aug-2025,42000,
567,9052.0,Aug-2025,,0.0
568,436.0,2025-08,65000,2000.0
569,1146.0,Aug-2025,,5000.0
570,4189.0,Aug-2025,65000,-100.0
571,2121.0,2025-08,,
572,2230.0,,25000,-100.0
573,4417.0,2025/08,-5000,2000.0
574,2075.0,,42000,2000.0
575,1928.0,2025-08,42000,2000.0
576,1021.0,,25000,-100.0
577,164.0,2025/08,,0.0
578,6122.0,Aug-2025,-5000,0.0
579,6223.0,Aug-2025,-5000,-100.0
580,3776.0,,25000,0.0
581,8006.0,Aug-2025,42000,5000.0
582,2519.0,,42000,5000.0
583,2285.0,2025/08,65000,
584,1959.0,,"₹45,000",0.0
585,9533.0,,-5000,5000.0
586,2037.0,2025/08,,0.0
587,4786.0,2025-08,"₹45,000",-100.0
588,5859.0,2025/08,25000,-100.0
589,3243.0,2025/08,,
590,1630.0,2025-08,,
591,7728.0,,65000,0.0
592,8683.0,2025-08,,0.0
593,4945.0,2025/08,65000,0.0
594,1090.0,Aug-2025,65000,5000.0
595,1118.0,,-5000,2000.0
596,5399.0,Aug-2025,42000,-100.0
597,8335.0,2025/08,-5000,2000.0
598,1837.0,Aug-2025,,5000.0
599,2896.0,Aug-2025,,0.0
600,5633.0,2025/08,,2000.0
601,6520.0,Aug-2025,42000,2000.0
602,9996.0,2025/08,"₹45,000",-100.0
603,8470.0,2025-08,42000,0.0
604,3640.0,2025/08,"₹45,000",
605,3760.0,2025/08,-5000,
606,6335.0,,"₹45,000",
607,200.0,Aug-2025,"₹45,000",5000.0
608,2973.0,Aug-2025,25000,
609,4605.0,2025-08,65000,-100.0
610,9364.0,2025-08,25000,5000.0
611,5334.0,2025/08,"₹45,000",0.0
612,3013.0,2025/08,65000,
613,4919.0,,25000,
614,283.0,2025/08,-5000,2000.0
615,2665.0,2025-08,"₹45,000",5000.0
616,7318.0,Aug-2025,25000,
617,8144.0,2025-08,65000,-100.0
618,296.0,,65000,5000.0
619,1245.0,Aug-2025,65000,
620,3172.0,,-5000,
621,5532.0,2025-08,65000,5000.0
622,6201.0,Aug-2025,42000,5000.0
623,3021.0,Aug-2025,65000,-100.0
624,8670.0,2025-08,65000,5000.0
625,9409.0,,"₹45,000",
626,6975.0,2025-08,,
627,725.0,Aug-2025,"₹45,000",0.0
628,318.0,2025-08,25000,-100.0
629,2511.0,,42000,-100.0
630,2544.0,,65000,
631,4600.0,,"₹45,000",2000.0
632,2405.0,2025-08,65000,
633,8133.0,2025-08,-5000,5000.0
634,963.0,Aug-2025,42000,2000.0
635,3406.0,Aug-2025,,0.0
636,2879.0,2025-08,,2000.0
637,7372.0,2025-08,42000,5000.0
638,3161.0,2025-08,42000,0.0
639,9709.0,Aug-2025,-5000,
640,2215.0,Aug-2025,65000,-100.0
641,9483.0,2025-08,25000,0.0
642,4553.0,,,0.0
643,1305.0,2025/08,,0.0
644,2816.0,2025/08,25000,2000.0
645,343.0,2025-08,25000,0.0
646,1041.0,2025-08,-5000,0.0
647,9284.0,,,
648,8267.0,2025-08,42000,-100.0
649,1658.0,2025/08,,
650,4228.0,,65000,
651,6737.0,2025-08,25000,0.0
652,4573.0,Aug-2025,,
653,4612.0,,,-100.0
654,9532.0,2025/08,25000,5000.0
655,2461.0,Aug-2025,,5000.0
656,525.0,2025/08,65000,
657,687.0,,-5000,0.0
658,9329.0,,65000,-100.0
659,3868.0,2025-08,"₹45,000",
660,4302.0,2025-08,65000,2000.0
661,5153.0,2025/08,,2000.0
662,1822.0,2025-08,42000,2000.0
663,5018.0,Aug-2025,-5000,
664,9866.0,,-5000,0.0
665,4771.0,2025-08,25000,2000.0
666,4018.0,Aug-2025,25000,2000.0
667,7261.0,2025/08,,5000.0
668,5125.0,2025/08,42000,5000.0
669,9229.0,2025/08,-5000,-100.0
670,4323.0,,-5000,5000.0
671,3494.0,2025/08,42000,2000.0
672,3959.0,2025-08,-5000,5000.0
673,4440.0,2025/08,25000,5000.0
674,3913.0,2025/08,65000,
675,1571.0,2025/08,25000,5000.0
676,4916.0,2025-08,-5000,5000.0
677,9186.0,2025/08,25000,5000.0
678,7011.0,2025/08,"₹45,000",-100.0
679,5893.0,2025/08,42000,5000.0
680,9715.0,Aug-2025,42000,
681,4521.0,,,2000.0
682,8105.0,,-5000,2000.0
683,4248.0,Aug-2025,"₹45,000",0.0
684,4301.0,2025/08,,2000.0
685,502.0,2025/08,42000,5000.0
686,1733.0,2025/08,25000,
687,3118.0,Aug-2025,-5000,-100.0
688,2834.0,2025/08,"₹45,000",0.0
689,4106.0,Aug-2025,25000,5000.0
690,6080.0,2025-08,25000,
691,768.0,2025-08,65000,-100.0
692,6653.0,2025-08,"₹45,000",
693,978.0,Aug-2025,-5000,5000.0
694,812.0,,-5000,5000.0
695,1274.0,2025/08,,5000.0
696,975.0,2025/08,65000,5000.0
697,2165.0,Aug-2025,42000,5000.0
698,4960.0,Aug-2025,,2000.0
699,7100.0,Aug-2025,"₹45,000",0.0
700,2980.0,,,
701,649.0,2025-08,25000,0.0
702,3025.0,,65000,2000.0
703,2175.0,2025/08,-5000,5000.0
704,7172.0,Aug-2025,42000,-100.0
705,4243.0,Aug-2025,65000,2000.0
706,5613.0,,42000,0.0
707,4885.0,Aug-2025,42000,
708,9448.0,Aug-2025,,-100.0
709,3637.0,2025-08,65000,2000.0
710,4587.0,,,-100.0
711,9770.0,,"₹45,000",-100.0
712,5526.0,2025/08,-5000,5000.0
713,4664.0,2025/08,,-100.0
714,8648.0,2025-08,25000,-100.0
715,9455.0,2025-08,-5000,0.0
716,8590.0,,-5000,
717,1653.0,,65000,-100.0
718,8075.0,Aug-2025,25000,0.0
719,1042.0,Aug-2025,-5000,5000.0
720,4866.0,,65000,5000.0
721,3548.0,2025/08,65000,0.0
722,9309.0,Aug-2025,42000,2000.0
723,1717.0,,65000,0.0
724,6332.0,2025/08,"₹45,000",5000.0
725,8267.0,2025-08,65000,
726,7474.0,2025/08,"₹45,000",-100.0
727,4822.0,Aug-2025,65000,0.0
728,17.0,Aug-2025,-5000,-100.0
729,7731.0,Aug-2025,65000,5000.0
730,973.0,Aug-2025,25000,-100.0
731,2215.0,2025/08,65000,2000.0
732,2594.0,Aug-2025,"₹45,000",2000.0
733,9491.0,2025-08,65000,
734,37.0,2025-08,42000,-100.0
735,3695.0,Aug-2025,-5000,-100.0
736,2036.0,2025/08,,-100.0
737,3576.0,2025/08,25000,
738,5168.0,2025/08,42000,-100.0
739,7760.0,Aug-2025,42000,-100.0
740,6263.0,,,5000.0
741,71.0,Aug-2025,65000,0.0
742,6791.0,Aug-2025,-5000,5000.0
743,1461.0,2025/08,"₹45,000",5000.0
744,2754.0,Aug-2025,"₹45,000",5000.0
